name,model,price
Porsche 911,Carrera S PDK 3.0 (A),"¥566,000 "
Porsche 911,Carrera 4S PDK 3.0 (A),"¥597,000 "
Porsche 911,Carrera GTS PDK 3.0 (A),"¥693,000 "
Porsche 911,Turbo PDK 3.8 (A),"¥801,000 "
Porsche 911,Turbo S PDK 3.8 (A),"¥923,000 "
Mazda MX`5 RF,2.0 (A),"$211,888$18,900 /yr"
Toyota Corolla Axio Hybrid,1.5 (A),"¥110,000 "
Mercedes`Benz G`Class,G63 AMG (A),"¥705,000 "
Mercedes`Benz G`Class,G63 AMG Manufaktur Edition (A),"¥788,900 "
Volvo S90,T5 Momentum (A),POA
Audi S3 Sportback,2.0 TFSI qu S tronic (A),"¥280,650 "
Honda CR`V Hybrid,e:HEV EX 2.0 (A),"¥191,000 "
Mercedes`Benz GLB`Class CarVault Edition,GLB200 Sport 7`Seater (A),"¥114,999 "
Mercedes`Benz GLB`Class CarVault Edition,GLB200 AMG Line 7`Seater (A),"¥122,999 "
Mercedes`Benz GLB`Class CarVault Edition,GLB200 AMG Line Premium Plus 7`Seater (A),"¥150,999 "
Lexus RX 300,2.0 Executive (A),"¥319,800 "
Lexus RX 300,2.0 Luxury (A),"¥346,800 "
Mercedes`Benz S`Class Mild Hybrid 2021,S450L 4MATIC (A),"¥492,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500 4MATIC (A),"¥494,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500L AMG Line 4MATIC Premium (A),"¥530,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500L AMG Line 4MATIC Premium Executive (A),"¥540,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500L AMG Line 4MATIC Premium Plus (A),"¥560,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500L AMG Line 4MATIC Premium Plus Executive (A),"¥570,000 "
Renault Kadjar,1.3T TCe  (A),"$159,999$15,000 /yr"
Renault Kadjar,1.3T TCe Bold Edition (A),"$162,999$15,300 /yr"
Renault Kadjar,1.3T TCe Bose Edition (A),"$172,999$16,100 /yr"
Maserati Levante,3.0 V6 (A),"$358,800(w/o COE)"
Maserati Levante,3.0 V6 GranSport (A),"$398,800(w/o COE)"
Honda Fit 2017,1.3 G F`Package (A),"¥93,000 "
Perodua Myvi,1.3 X (A),"$85,999$8,300 /yr"
Honda Fit Hybrid 2017,1.5 F`Package (A),"¥114,000 "
Mercedes`Benz EQ,EQV300 Sport Premium 7`seater (A),"¥357,000 "
Mercedes`Benz EQ,EQV300 Sport Premium Plus 7`seater (A),"¥394,000 "
Honda Fit Speedo Motoring Edition,1.3 (A),"¥91,988 "
Mercedes`Benz E`Class Estate,E200 AMG Line (A),"¥252,000 "
Mercedes`Benz E`Class Estate,E53 AMG 4MATIC+ Night Edition Premium Plus (A),"¥447,000 "
BMW 7 Series F1 Auto Cars Edition,740Li (A),"¥412,988 "
BMW 7 Series F1 Auto Cars Edition,740Li M Sport (A),"¥437,988 "
BMW 7 Series F1 Auto Cars Edition,750i xDrive M Sport (A),"¥447,988 "
Toyota Corolla Touring Hybrid,1.8 S (A),"¥155,000 "
Jeep Wrangler Sahara 4`Door,2.0 Turbo (A),"$279,999$25,500 /yr"
Land Rover Range Rover Velar,2.0 Si4 R`Dynamic S Style Pack (A),"$354,999$31,100 /yr"
Land Rover Range Rover Velar,2.0 Si4 R`Dynamic HSE (A),"$382,999$33,100 /yr"
Audi TT Coupe,2.0 TFSI S tronic (A),"$280,976$25,500 /yr"
Toyota Land Cruiser,4.6 AX 7`Seater (A),"¥294,000 "
Toyota Land Cruiser,4.6 AX G`Edition 8`Seater (A),"¥310,000 "
Toyota Land Cruiser,4.7 AX G`Selection 7`Seater [2008] (A),"¥311,000 "
Toyota Dyna 150 Diesel,3.0 [2014] [Euro VI] (M),POA
Toyota Dyna 150 Diesel,2.8 [Euro VI] (M),"¥83,000 "
Toyota Dyna 150 Diesel,3.0 [Euro VI] (A),"¥92,000 "
Toyota Dyna 150 Diesel,3.0 [Euro VI] (M),"¥96,000 "
Toyota Dyna 150 Diesel,2.8 E Package [Euro VI] (A),"¥97,000 "
Mercedes`Benz E`Class Saloon Plug`in Hybrid,E300e AMG Line (A),"¥272,000 "
Mercedes`Benz E`Class Saloon Plug`in Hybrid,E300e AMG Line Night Edition Premium Plus (A),"¥300,000 "
Ford Ranger Raptor Diesel,2.0 Double Cab Pick`Up Limited [Euro VI] (A),"$153,888(w/o COE)"
Nissan NV100 High Roof Petrol,660 DX (A),"¥60,000 "
Mercedes`Benz AMG GT,S 4.0 (A),"¥639,000 "
Mercedes`Benz AMG GT,R 4.0 (A),"¥911,688 "
Mercedes`Benz AMG GT,R Pro 4.0 (A),"¥1,016,800 "
Toyota GR Supra,2.0 SZ (A),"¥244,000 "
Toyota GR Supra,2.0 Pro (A),"¥284,000 "
Toyota GR Supra,3.0 Pro (A),"¥305,000 "
BMW 5 Series Sedan Mild Hybrid,520i SE (A),"¥255,000 "
BMW 5 Series Sedan Mild Hybrid,520i Luxury (A),"¥265,000 "
BMW 5 Series Sedan Mild Hybrid,520i M Sport (A),"¥270,000 "
BMW 5 Series Sedan Mild Hybrid,530i M Sport (A),"¥294,000 "
Lamborghini Huracan,STO 5.2 V10 RWD (A),POA
Lamborghini Huracan,EVO 5.2 V10 RWD (A),"$798,000(w/o COE)"
Lamborghini Huracan,EVO 5.2 V10 (A),"$958,000(w/o COE)"
Audi Q7,2.0 TFSI qu Tip 7`Seater (A),"$378,448$33,700 /yr"
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S450L 4MATIC (A),"¥500,988 "
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S500L AMG Line 4MATIC Premium (A),"¥512,988 "
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S500L AMG Line 4MATIC Premium Executive (A),"¥518,988 "
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S500L AMG Line 4MATIC Premium Plus (A),"¥556,988 "
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S500L AMG Line 4MATIC Premium Plus Executive (A),"¥557,988 "
Maxus G10 Executive MPV,2.0T 7`Seater (A),"$172,999$15,900 /yr"
Maxus G10 Executive MPV,2.0T 9`Seater (A),"¥172,999 "
MINI One 3`Door,1.5 (A),"$133,888$12,600 /yr"
BYD T3 Electric,50.3 kWh (A),"¥98,300 "
Opel Vivaro`e Electric,75 kWh (A),"¥111,500 "
Audi SQ5,3.0 TFSI qu Tip (A),"$376,986$33,600 /yr"
MINI Electric,Collection 32.64 kWh (A),"¥192,888 "
MINI Electric,32.64 kWh (A),"$193,888$19,100 /yr"
Mercedes`Benz GLE`Class Mild Hybrid F1 Auto Cars Edition,GLE450 AMG Line 4MATIC Premium Plus 7`Seater (A),"¥400,000 "
Jaguar I`PACE Electric,SE 90 kWh (A),"¥377,999 "
BMW M Series M235i Gran Coupe,2.0 xDrive (A),"$301,888$27,000 /yr"
Nissan NV200 Petrol,1.6 Panel Van (A),"¥69,800 "
Nissan NV200 Petrol,1.6 CVT (A),"¥89,800 "
Porsche 718 Boxster,PDK 2.0 (A),"$285,788(w/o COE)"
Porsche 718 Boxster,S PDK 2.5 (A),"$343,588(w/o COE)"
Audi A7 Sportback Mild Hybrid,2.0 TFSI S tronic (A),"¥338,046 "
Audi A7 Sportback Mild Hybrid,3.0 TFSI qu S tronic (A),"¥443,887 "
BMW M Series M4 Coupe,3.0 Competition Launch Edition (A),POA
BMW M Series M4 Coupe,3.0 Competition (A),"$500,888$41,700 /yr"
Toyota Esquire Hybrid,1.8 Gi 7`Seater (A),"¥180,000 "
BMW 2 Series Gran Coupe,218i M Sport (A),"¥203,000 "
Jaguar F`TYPE Coupe,2.0 R`Dynamic (A),"¥395,999 "
Jeep Wrangler Rubicon 4`Door,2.0 Turbo (A),"$299,999$27,400 /yr"
Mercedes`Benz AMG GT 4`Door Coupe,63 S 4MATIC+ (A),"¥823,888 "
Ferrari SF90 Stradale Plug`in Hybrid,4.0 V8 (A),"$1,818,000(w/o COE)"
Honda Grace,1.5 LX (A),"¥104,000 "
Toyota Hiace Standard Roof Petrol,2.0 DX Glass Door Van (A),"¥75,000 "
Toyota Land Cruiser Prado,2.7 TX 7`Seater (A),"¥248,000 "
Toyota Land Cruiser Prado,2.7 TX L 7`Seater (A),"¥253,000 "
Volvo XC90 Recharge Plug`in Hybrid,T8 Inscription 7`Seater (A),"¥419,000 "
Toyota Harrier,2.0 G (A),"¥200,000 "
Mazda MX`5,1.5 SE`L (M),"¥165,000 "
Aston Martin DB11,AMR 5.2 V12 (A),POA
Aston Martin DB11,4.0 V8 (A),"$799,000(w/o COE)"
Maserati GranTurismo,4.2 (A),"¥471,000 "
Toyota Vellfire,2.5 Elegance (A),"$269,888$23,900 /yr"
Audi Q5,2.0 TFSI quattro (A),"¥245,000 "
Mercedes`Benz EQC Electric,EQC400 4MATIC Sport (A),"¥308,000 "
Porsche Panamera,PDK 3.0 (A),"¥433,000 "
Porsche Panamera,PDK 2.9 (A),"¥530,000 "
Porsche Panamera,4 PDK 3.0 Executive (A),"¥537,000 "
Mercedes`Benz GLE`Class Coupe Mild Hybrid,GLE53 AMG 4MATIC+ Premium Plus (A),"¥453,000 "
Mercedes`Benz GLE`Class Coupe Mild Hybrid,GLE63 AMG 4MATIC+ (A),"¥686,000 "
BMW 7 Series,740Li (A),"¥412,000 "
BMW 7 Series,740Li M Sport [2016] (A),"¥430,000 "
BMW 7 Series,740Li M Sport (A),"¥439,000 "
BMW 7 Series,750i xDrive M Sport (A),"¥441,000 "
Audi e`tron Electric,55 quattro (A),"¥370,000 "
Honda Stepwagon Hybrid,2.0 e`HEV G Spada 7`Seater Honda Sensing (A),"¥185,000 "
Lotus Exige,Sport 390 Final Edition (M),"$340,000(w/o COE)"
Lotus Exige,Sport 420 Final Edition (M),"$440,000(w/o COE)"
Lotus Exige,Cup 430 Final Edition (M),"$490,000(w/o COE)"
Mercedes`Benz S`Class Coupe,S560 AMG Line (A),"¥543,000 "
BMW Z4 Roadster,sDrive20i M Sport (A),"¥270,000 "
BMW Z4 Roadster,sDrive30i M Sport (A),"¥290,000 "
Volvo XC40 Recharge Plug`in Hybrid,T5 R`Design (A),"$247,000$23,700 /yr"
Toyota Granace Diesel,2.8 G 8`Seater (A),"¥332,000 "
Mercedes`Benz A`Class Saloon Plug`in Hybrid,A250e AMG Line Premium Plus (A),"¥219,000 "
Rolls`Royce Phantom,6.75 (A),"¥1,544,000 "
Rolls`Royce Phantom,6.75 Extended Wheelbase (A),"¥2,344,000 "
Rolls`Royce Phantom F1 Auto Cars Edition,6.75 (A),"¥1,530,000 "
Rolls`Royce Phantom F1 Auto Cars Edition,6.75 Extended Wheelbase (A),"¥2,330,000 "
Mercedes`Benz GLS`Class Diesel,GLS400d AMG Line 4MATIC Premium 7`Seater (A),"¥423,000 "
Mercedes`Benz GLS`Class Diesel,GLS400d AMG Line 4MATIC Premium Plus 7`Seater (A),"¥438,000 "
Bentley Bentayga,4.0 V8 First Edition (A),POA
Bentley Bentayga,4.0 V8 (A),"¥839,000 "
Volkswagen Transporter Diesel,T30 Panel Van [Euro VI] (A),"¥92,000 "
Volkswagen Transporter Diesel,T30 Panel Van LED [Euro VI] (A),"¥94,000 "
Mercedes`Benz E`Class Saloon 2016,E200 SE Premium (A),"¥248,000 "
BMW M Series M3 Sedan,3.0 Competition Launch Edition (A),"¥485,000 "
Audi RS 6 Avant Mild Hybrid,4.0 TFSI qu Tip (A),"$608,247$52,900 /yr"
Toyota Hiace High Roof Diesel,2.8 GL Commuter 14`Seater [Euro VI] (A),"¥103,000 "
Toyota Hiace High Roof Diesel,3.0 Commuter 14`Seater Bus [Euro VI] (A),"$104,000$10,400 /yr"
Porsche Cayenne Coupe,3.0 (A),"¥427,000 "
Porsche Cayenne Coupe,S 2.9 (A),"¥482,000 "
Porsche Cayenne Coupe,Turbo 4.0 (A),"¥626,000 "
Land Rover Discovery,2.0 SE 7`Seater (A),"¥396,999 "
Mercedes`Benz C`Class Coupe,C43 AMG 4MATIC Premium Plus (A),"¥368,000 "
Mercedes`Benz C`Class Coupe,C63 AMG Premium Plus (A),"¥510,000 "
BMW X3,xDrive20i M Sport (A),"¥277,000 "
BMW X3 Plug`in Hybrid,xDrive30e xLine (A),"¥327,888 "
Rolls`Royce Cullinan F1 Auto Cars Edition,6.75 V12 (A),"¥1,570,000 "
Audi A5 Coupe Mild Hybrid,2.0 TFSI S tronic (A),"$252,100$22,800 /yr"
Maserati GranCabrio,Sport 4.7 (A),"¥624,000 "
MINI One,1.5 Victoria Edition 5`Door (A),"¥143,000 "
BMW X7,xDrive40i M Sport 7`Seater (A),"¥450,000 "
Mercedes`Benz E`Class Coupe,E200 (A),"¥356,888 "
BMW M Series M8 Coupe,4.4 xDrive Competition (A),"¥785,888 "
Honda Odyssey Hybrid 2016,2.0 Absolute 8`Seater Honda Sensing (A),"¥201,000 "
Mercedes`Benz AMG GT 4`Door Coupe Mild Hybrid,53 4MATIC+ (A),"¥624,888 "
Mercedes`Benz GLB`Class Diesel,GLB220d AMG Line 4MATIC Premium 7`Seater (A),"¥248,000 "
Mercedes`Benz GLB`Class Diesel,GLB220d AMG Line 4MATIC Premium Plus 7`Seater (A),"¥256,000 "
Rolls`Royce Ghost,6.75 V12 (A),POA
Rolls`Royce Ghost,6.75 V12 Extended (A),POA
Mercedes`Benz AMG GT 4`Door Coupe,63 S 4MATIC+ (A),"¥743,000 "
Mercedes`Benz AMG GT 4`Door Coupe,63 S 4MATIC+ Edition 1 (A),"¥776,000 "
MINI John Cooper Works GP,2.0 (A),"¥263,000 "
Ford Ranger Diesel,2.0 Double Cab Pick`Up Limited [Euro VI] (A),"$109,888(w/o COE)"
Mercedes`Benz CLS`Class Diesel,CLS300d AMG Line Premium Plus (A),"¥272,000 "
BMW 8 Series Gran Coupe,840i M Sport (A),"¥453,000 "
Opel Combo Diesel,1.5 Turbo [LWB] [Euro VI] (A),"$90,500$9,100 /yr"
Porsche 718 Cayman,GT4 4.0 (M),"¥523,000 "
Mercedes`Benz CLA`Class Shooting Brake,CLA200 AMG Line Premium Plus (A),"¥225,000 "
Mercedes`Benz CLA`Class Shooting Brake,CLA45 S AMG 4MATIC+ Plus (A),"¥341,000 "
Aston Martin Vantage,4.0 (A),POA
Ferrari 812 GTS,6.5 V12 (A),"$1,560,000(w/o COE)"
Toyota Harrier Hybrid Vins Auto Edition,2.5 S (A),"¥173,800 "
Toyota Harrier Hybrid Vins Auto Edition,2.5 G (A),"¥188,800 "
Mercedes`Benz AMG GT Roadster,C 4.0 (A),"¥729,000 "
McLaren 720S Coupe,4.0 V8 (A),"$1,043,000(w/o COE)"
MINI John Cooper Works Clubman,2.0 (A),"¥261,888 "
BMW X5 Plug`in Hybrid,xDrive45e xLine (A),"¥419,888 "
Audi Q8 Diesel Mild Hybrid,3.0 50 TDI qu tip S`Line (A),"¥392,000 "
Audi S4 Sedan,3.0 TFSI qu Tip (A),"¥376,581 "
Audi RS 6 Avant Mild Hybrid,4.0 TFSI qu Tip (A),"¥553,000 "
Lamborghini Huracan Spyder,EVO 5.2 V10 RWD (A),"$898,000(w/o COE)"
Lamborghini Huracan Spyder,EVO 5.2 V10 (A),"$1,058,000(w/o COE)"
Rolls`Royce Dawn F1 Auto Cars Edition,6.6 V12 (A),"¥1,280,000 "
McLaren 720S Coupe,4.0 V8 (A),"¥1,025,000 "
MINI Cooper Countryman,1.5 (A),"¥205,888 "
Audi Q5 Mild Hybrid,2.0 TFSI qu S tronic S Line (A),"¥255,000 "
BMW M Series X6 M,4.4 xDrive Competition (A),"¥674,888 "
Maserati Levante,S 3.0 (A),"¥444,000 "
Toyota Hiace Diesel,2.8 Super GL Dark Prime [Euro VI] (A),"¥101,000 "
Mercedes`Benz GLE`Class Coupe Diesel,GLE400d AMG Line Premium Plus 4MATIC (A),"¥409,000 "
BMW 4 Series Convertible,420i Sport (A),"$263,000$18,850 /yr"
Mercedes`Benz E`Class Coupe Mild Hybrid,E53 AMG 4MATIC+ (A),"¥486,888 "
Ssangyong Rexton,2.0 7`Seater (A),"¥218,888 "
Citroen Berlingo Diesel,1.5 BlueHDi [Euro VI] (A),"¥95,988 "
Maserati Quattroporte,S 3.0 (A),"¥480,000 "
Maserati Quattroporte,GTS 3.8 (A),"¥552,000 "
Rolls`Royce Ghost,6.75 V12 (A),"¥1,522,000 "
Mercedes`Benz GLB`Class Car Empire Edition,GLB200 AMG Line 7`Seater (A),"¥200,888 "
Mercedes`Benz GLB`Class Car Empire Edition,GLB35 AMG 4MATIC Premium Plus 7`Seater (A),"¥299,888 "
Porsche 911 Cabriolet,Carrera PDK 3.0 (A),"¥569,000 "
Porsche 911 Cabriolet,Carrera S PDK 3.0 (A),"¥634,000 "
Porsche 911 Cabriolet,Carrera GTS PDK 3.0 (A),"¥750,000 "
Porsche 911 Cabriolet,Turbo S PDK 3.8 (A),"¥1,013,000 "
Mercedes`Benz E`Class Coupe Diesel,E220d AMG Line Night Edition Premium Plus (A),"¥291,000 "
BMW 7 Series Plug`in Hybrid,745Le Pure Excellence (A),"¥559,888 "
Porsche 911 Cabriolet,Carrera PDK 3.0 (A),"$552,488(w/o COE)"
Porsche 911 Cabriolet,Carrera 4 PDK 3.0 (A),"$589,988(w/o COE)"
Porsche 911 Cabriolet,Carrera S PDK 3.0 (A),"$620,288(w/o COE)"
Porsche 911 Cabriolet,Carrera PDK 4S 3.0 (A),"$657,788(w/o COE)"
BMW M Series X4 M40i,3.0 (A),"$399,888$34,500 /yr"
Porsche Cayenne E`Hybrid,3.0 (A),"¥448,000 "
BMW 8 Series Coupe,840i Shadow Line (A),"¥533,888 "
Mercedes`Benz E`Class Coupe Mild Hybrid 2018,E53 AMG 4MATIC+ Premium Plus (A),"¥419,000 "
Nissan NV350 Diesel,2.5 Panel Van [Euro VI] (M),"¥83,000 "
BYD T9R Electric,217 kWh (A),POA
Kia K2500 Diesel,2.5 [Euro VI] (M),"$87,988$8,800 /yr"
Hino 300 Diesel,4.0 XZU710R`HKMMV3 14FT [Euro VI] (M),"¥96,000 "
Isuzu N Series Diesel,NPR 85 15FT [Euro VI] (M),POA
Isuzu N Series Diesel,NHR 85 10FT [Euro VI] (M),"¥81,000 "
Isuzu N Series Diesel,NNR 85 15FT [Euro VI] (M),"¥98,000 "
Land Rover Defender 110 Mild Hybrid,3.0 XS Edition 7`Seater (A),"¥384,999 "
Rolls`Royce Dawn,6.6 V12 (A),"¥1,303,000 "
Rolls`Royce Wraith F1 Auto Cars Edition,6.6 V12 (A),"¥1,380,000 "
Rolls`Royce Wraith,6.6 V12 (A),POA
BYD C6 Electric,135 kWh (A),POA
Land Rover Range Rover Sport Mild Hybrid,3.0 HSE (A),"¥422,999 "
Aston Martin DB11 Volante,4.0 (A),POA
Rolls`Royce Phantom,6.75 V12 (A),POA
Rolls`Royce Phantom,6.75 V12 Extended (A),POA
Bentley Continental GT Convertible,4.0 V8 (A),POA
Bentley Continental GT Convertible,6.0 W12 (A),POA
Hino 500 Diesel,5.0 FD9JLNA`HAS LWB [Euro VI] (M),"¥124,000 "
Ferrari Roma,3.9 V8 (A),"¥869,000 "
Volvo XC90 Mild Hybrid,B5 R`Design (A),"$350,000$31,400 /yr"
Volvo XC90 Mild Hybrid,B6 Inscription (A),"¥390,000 "